GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
11782	Burlington, WI Urban Cluster	C	33996875	3108743	      13.126	       1.200	 42.704751	 -88.243824                                                                                                  
11809	Burnet, TX Urban Cluster	C	10064922	27206	       3.886	       0.011	 30.750602	 -98.238193                                                                                                        
11836	Burney, CA Urban Cluster	C	5336008	43741	       2.060	       0.017	 40.883756	-121.665539                                                                                                         
11863	Burns, OR Urban Cluster	C	6466425	0	       2.497	       0.000	 43.582695	-119.055273                                                                                                              
11872	Burnt Store Marina, FL Urban Cluster	C	8149981	786634	       3.147	       0.304	 26.772214	 -82.044248                                                                                            
11890	Bushnell, FL Urban Cluster	C	7042320	0	       2.719	       0.000	 28.667724	 -82.116595                                                                                                           
11917	Bushnell, IL Urban Cluster	C	3807535	19836	       1.470	       0.008	 40.552775	 -90.507321                                                                                                       
11944	Butler, IN Urban Cluster	C	3181519	0	       1.228	       0.000	 41.429247	 -84.872610                                                                                                             
11971	Butler, MO Urban Cluster	C	5541871	16227	       2.140	       0.006	 38.256012	 -94.339322                                                                                                         
11998	Butler, PA Urban Cluster	C	85115421	329115	      32.863	       0.127	 40.863328	 -79.924443                                                                                                       
12025	Butner, NC Urban Cluster	C	44249041	96104	      17.085	       0.037	 36.134328	 -78.740676                                                                                                        
12052	Butte-Silver Bow, MT Urban Cluster	C	42723757	0	      16.496	       0.000	 45.983526	-112.516412                                                                                                  
12079	Byron, IL Urban Cluster	C	13458365	143714	       5.196	       0.055	 42.141192	 -89.264201                                                                                                        
12106	Byron, MN Urban Cluster	C	6126778	0	       2.366	       0.000	 44.038029	 -92.643897                                                                                                              
12120	Cache, OK Urban Cluster	C	3986913	0	       1.539	       0.000	 34.630180	 -98.629863                                                                                                              
12133	Cactus, TX Urban Cluster	C	1904469	0	       0.735	       0.000	 36.039681	-101.999794                                                                                                             
12160	Cadillac, MI Urban Cluster	C	22621635	4761096	       8.734	       1.838	 44.248143	 -85.415876                                                                                                    
12187	Cadiz, KY Urban Cluster	C	5668110	12602	       2.188	       0.005	 36.864616	 -87.820443                                                                                                          
12214	Cadiz, OH Urban Cluster	C	4474129	332	       1.727	       0.000	 40.265314	 -80.988254                                                                                                            
12241	Cairo, GA Urban Cluster	C	16718741	157083	       6.455	       0.061	 30.876091	 -84.205905                                                                                                        
12268	Cairo, IL Urban Cluster	C	4930200	1421	       1.904	       0.001	 37.013870	 -89.180625                                                                                                           
12295	Calais, ME Urban Cluster	C	4410956	0	       1.703	       0.000	 45.178899	 -67.275223                                                                                                             
12322	Caldwell, OH Urban Cluster	C	7284508	48684	       2.813	       0.019	 39.741273	 -81.535625                                                                                                       
12349	Caldwell, TX Urban Cluster	C	7878914	48477	       3.042	       0.019	 30.531315	 -96.700624                                                                                                       
12376	Caledonia, MN Urban Cluster	C	4413148	571	       1.704	       0.000	 43.634118	 -91.494171                                                                                                        
12457	Calhoun, GA Urban Cluster	C	85793430	479455	      33.125	       0.185	 34.477731	 -84.920398                                                                                                      
12511	California, MO Urban Cluster	C	5859952	32934	       2.263	       0.013	 38.630336	 -92.568251                                                                                                     
12565	California City, CA Urban Cluster	C	19514057	104459	       7.534	       0.040	 35.122358	-117.966018                                                                                              
12592	Calipatria, CA Urban Cluster	C	2661784	0	       1.028	       0.000	 33.124883	-115.512646                                                                                                         
12646	Calistoga, CA Urban Cluster	C	6728918	47145	       2.598	       0.018	 38.581408	-122.582696                                                                                                      
12700	Camano, WA Urban Cluster	C	17183717	128605	       6.635	       0.050	 48.159122	-122.472428                                                                                                       
12713	Camano North, WA Urban Cluster	C	5160297	0	       1.992	       0.000	 48.213081	-122.528459                                                                                                       
12754	Camarillo, CA Urbanized Area	U	56957002	24048	      21.991	       0.009	 34.231343	-119.034717                                                                                                    
12781	Cambria, CA Urban Cluster	C	9244023	0	       3.569	       0.000	 35.559273	-121.091551                                                                                                            
12808	Cambridge, MD Urban Cluster	C	22412651	348446	       8.654	       0.135	 38.562477	 -76.077314                                                                                                    
12835	Cambridge, MN Urban Cluster	C	25611608	1347446	       9.889	       0.520	 45.534249	 -93.234418                                                                                                   
12862	Cambridge, OH Urban Cluster	C	25500541	9978	       9.846	       0.004	 40.017438	 -81.578297                                                                                                      
